,VGS,L,W,ID_NMOS,ID_PMOS,gm_NMOS,gm_PMOS,gds_NMOS,gds_PMOS,Vov_NMOS,Vstar_NMOS,Vov_PMOS,Vstar_PMOS
278,0.95,1e-06,5e-06,0.000157863,-3.978915e-05,0.0005490583,0.0001338205,6.018835e-06,1.815746e-06,0.545687,0.5750317,-0.5391276,-0.5946643
279,0.96,1e-06,5e-06,0.0001633955,-4.113696e-05,0.000557441,0.0001357651,6.193962e-06,1.862316e-06,0.555687,0.5862342,-0.5491274,-0.6060018
280,0.97,1e-06,5e-06,0.0001690116,-4.250419e-05,0.000565766,0.000137705,6.374103e-06,1.909551e-06,0.565687,0.5974611,-0.5591272,-0.6173223
281,0.98,1e-06,5e-06,0.0001747106,-4.389079e-05,0.0005740304,0.00013964,6.5595e-06,1.95749e-06,0.575687,0.6087155,-0.5691269,-0.6286277
282,0.99,1e-06,5e-06,0.000180492,-4.529672e-05,0.0005822317,0.00014157,6.750412e-06,2.006177e-06,0.585687,0.6200005,-0.5791267,-0.6399199
283,1.0,1e-06,5e-06,0.000186355,-4.672191e-05,0.0005903673,0.0001434946,6.947111e-06,2.055656e-06,0.595687,0.6313189,-0.5891265,-0.6512009
284,1.01,1e-06,5e-06,0.0001922991,-4.816632e-05,0.0005984345,0.0001454139,7.149887e-06,2.105975e-06,0.605687,0.6426738,-0.5991263,-0.6624722
285,1.02,1e-06,5e-06,0.0001983235,-4.962989e-05,0.0006064309,0.0001473275,7.359046e-06,2.157189e-06,0.615687,0.6540678,-0.609126,-0.6737357
286,1.03,1e-06,5e-06,0.0002044275,-5.111257e-05,0.000614354,0.0001492353,7.574913e-06,2.209353e-06,0.625687,0.6655037,-0.6191258,-0.6849929
287,1.04,1e-06,5e-06,0.0002106103,-5.261429e-05,0.0006222016,0.0001511372,7.797834e-06,2.262532e-06,0.635687,0.6769841,-0.6291256,-0.6962454
288,1.05,1e-06,5e-06,0.0002168712,-5.413499e-05,0.0006299713,0.000153033,8.028174e-06,2.316794e-06,0.645687,0.6885114,-0.6391253,-0.7074945
289,1.06,1e-06,5e-06,0.0002232094,-5.567462e-05,0.0006376609,0.0001549225,8.266323e-06,2.372213e-06,0.655687,0.7000882,-0.6491251,-0.7187416
290,1.07,1e-06,5e-06,0.0002296242,-5.72331e-05,0.0006452683,0.0001568056,8.512694e-06,2.428873e-06,0.665687,0.7117168,-0.6591248,-0.729988
291,1.08,1e-06,5e-06,0.0002361145,-5.881038e-05,0.0006527913,0.0001586822,8.767724e-06,2.486865e-06,0.675687,0.7233997,-0.6691246,-0.7412348
292,1.09,1e-06,5e-06,0.0002426797,-6.040639e-05,0.000660228,0.0001605522,9.031882e-06,2.54629e-06,0.685687,0.735139,-0.6791243,-0.7524828
293,1.1,1e-06,5e-06,0.0002493188,-6.202106e-05,0.0006675764,0.0001624156,9.305664e-06,2.607262e-06,0.695687,0.7469371,-0.6891241,-0.7637329
294,1.11,1e-06,5e-06,0.0002560309,-6.365433e-05,0.0006748346,0.0001642723,9.589597e-06,2.669909e-06,0.705687,0.7587961,-0.6991238,-0.7749854
295,1.12,1e-06,5e-06,0.0002628152,-6.530613e-05,0.0006820007,0.0001661226,9.884243e-06,2.734377e-06,0.715687,0.7707181,-0.7091235,-0.7862401
296,1.13,1e-06,5e-06,0.0002696706,-6.69764e-05,0.000689073,0.0001679668,1.01902e-05,2.800838e-06,0.725687,0.7827055,-0.7191233,-0.7974956
297,1.14,1e-06,5e-06,0.0002765963,-6.866508e-05,0.0006960496,0.0001698058,1.050811e-05,2.8695e-06,0.735687,0.7947603,-0.729123,-0.8087483
298,1.15,1e-06,5e-06,0.0002835913,-7.037212e-05,0.000702929,0.0001716415,1.083865e-05,2.940627e-06,0.745687,0.8068845,-0.7391227,-0.8199897
299,1.16,1e-06,5e-06,0.0002906545,-7.209752e-05,0.0007097093,0.0001734783,1.118254e-05,3.014592e-06,0.755687,0.8190805,-0.7491225,-0.8311992
300,1.17,1e-06,5e-06,0.0002977851,-7.384133e-05,0.0007163891,0.000175327,1.154056e-05,3.091992e-06,0.765687,0.8313502,-0.7591222,-0.8423269
301,1.18,1e-06,5e-06,0.000304982,-7.560377e-05,0.0007229666,0.0001772121,1.191354e-05,3.173935e-06,0.775687,0.8436958,-0.7691219,-0.8532574
302,1.19,1e-06,5e-06,0.0003122441,-7.738538e-05,0.0007294403,0.0001791634,1.230235e-05,3.26247e-06,0.785687,0.8561196,-0.7791216,-0.8638524
303,1.2,1e-06,5e-06,0.0003195704,-7.918668e-05,0.0007358087,0.00018113,1.270793e-05,3.359835e-06,0.795687,0.8686236,-0.7891213,-0.8743631
304,1.21,1e-06,5e-06,0.0003269599,-8.100725e-05,0.0007420701,0.0001830136,1.31313e-05,3.465961e-06,0.805687,0.8812102,-0.799121,-0.8852594
305,1.22,1e-06,5e-06,0.0003344114,-8.284625e-05,0.000748223,0.0001848207,1.357352e-05,3.579397e-06,0.815687,0.8938817,-0.8091207,-0.8965039
306,1.23,1e-06,5e-06,0.000341924,-8.470307e-05,0.000754266,0.0001865849,1.403576e-05,3.699369e-06,0.825687,0.9066403,-0.8191204,-0.9079305
307,1.24,1e-06,5e-06,0.0003494964,-8.65774e-05,0.0007601973,0.0001883231,1.451923e-05,3.825793e-06,0.835687,0.9194885,-0.8291201,-0.9194559
308,1.25,1e-06,5e-06,0.0003571275,-8.8469e-05,0.0007660156,0.0001900421,1.502526e-05,3.958932e-06,0.845687,0.9324289,-0.8391198,-0.9310465
309,1.26,1e-06,5e-06,0.0003648163,-9.03777e-05,0.0007717191,0.0001917445,1.555526e-05,4.099237e-06,0.855687,0.9454639,-0.8491195,-0.9426889
310,1.27,1e-06,5e-06,0.0003725615,-9.230334e-05,0.0007773064,0.0001934313,1.611075e-05,4.247282e-06,0.865687,0.9585962,-0.8591192,-0.9543785
311,1.28,1e-06,5e-06,0.000380362,-9.424578e-05,0.0007827758,0.0001951028,1.669334e-05,4.403739e-06,0.875687,0.9718287,-0.8691189,-0.9661143
312,1.29,1e-06,5e-06,0.0003882166,-9.620484e-05,0.0007881256,0.0001967585,1.730478e-05,4.569381e-06,0.885687,0.9851643,-0.8791186,-0.9778975
313,1.3,1e-06,5e-06,0.0003961241,-9.818037e-05,0.0007933541,0.0001983982,1.794693e-05,4.745077e-06,0.895687,0.998606,-0.8891183,-0.9897305
314,1.31,1e-06,5e-06,0.0004040833,-0.0001001722,0.0007984595,0.0002000211,1.862179e-05,4.931806e-06,0.905687,1.012157,-0.899118,-1.001617
315,1.32,1e-06,5e-06,0.0004120929,-0.0001021802,0.0008034401,0.0002016264,1.933151e-05,5.130661e-06,0.915687,1.025821,-0.9091177,-1.01356
316,1.33,1e-06,5e-06,0.0004201516,-0.0001042041,0.0008082939,0.0002032132,2.007839e-05,5.342862e-06,0.925687,1.039601,-0.9191173,-1.025565
317,1.34,1e-06,5e-06,0.0004282583,-0.0001062438,0.0008130189,0.0002047804,2.086492e-05,5.569773e-06,0.935687,1.053501,-0.929117,-1.037637
318,1.35,1e-06,5e-06,0.0004364115,-0.0001082991,0.0008176131,0.0002063269,2.169375e-05,5.812908e-06,0.945687,1.067526,-0.9391167,-1.049782
319,1.36,1e-06,5e-06,0.0004446101,-0.0001103697,0.0008220743,0.0002078513,2.256774e-05,6.073951e-06,0.955687,1.081679,-0.9491164,-1.062007
320,1.37,1e-06,5e-06,0.0004528526,-0.0001124555,0.0008264001,0.0002093521,2.348994e-05,6.354769e-06,0.965687,1.095964,-0.959116,-1.074319
